name,postal,corn_2000,corn_2001,corn_2002,corn_2003,corn_2004,corn_2005,corn_2006,corn_2007,corn_2008,corn_2009,corn_2010,corn_2011,corn_2012,corn_2013,soybean_2000,soybean_2001,soybean_2002,soybean_2003,soybean_2004,soybean_2005,soybean_2006,soybean_2007,soybean_2008,soybean_2009,soybean_2010,soybean_2011,soybean_2012,soybean_2013,wheat_2000,wheat_2001,wheat_2002,wheat_2003,wheat_2004,wheat_2005,wheat_2006,wheat_2007,wheat_2008,wheat_2009,wheat_2010,wheat_2011,wheat_2012,wheat_2013
Alabama,AL,0.010570439,0.010631338,0.015930631,0.014157014,0.019102873,0.012563486,0.012950699,0.020685435,0.028044147,0.021015067,0.023455896,0.024456903,0.017195582,0.009411012,0.010570439,0.015210991,0.015527324,0.026455026,0.021932928,0.013766373,0.010301692,0.020073439,0.059797358,0.0870341,0.044647709,0.037351086,0.086607018,0.07900128,0.011663933,0.009649984,0.00907441,0.007865008,0.010046696,0.005880781,0.008388521,0.013953488,0.053374344,0.018933386,0.012950552,0.049053959,0.02551377,0.058706786
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,AZ,0.006860707,0.006683915,0.005524862,0.004148629,0.003733084,0.002825699,0.002890173,0.003314665,0.003498072,0.003017642,0.003747372,0.004738106,0.004241139,0.002693966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025987526,0.031047865,0.034727703,0.042388167,0.041841655,0.024092802,0.023534269,0.035432621,0.07902054,0.050371402,0.023672425,0.031609009,0.034686459,0.031856142
Arkansas,AR,0.007608286,0.010095141,0.013308824,0.013007698,0.015908384,0.009242619,0.009184956,0.021697367,0.026149366,0.01657553,0.014609765,0.019328643,0.019023926,0.019129875,0.120677966,0.124046772,0.149191176,0.1855588,0.139444502,0.112451861,0.112829933,0.127773383,0.18342795,0.206732741,0.190727925,0.197152154,0.26894466,0.234755494,0.061318267,0.053598664,0.049558824,0.029147863,0.039952327,0.010115533,0.017354733,0.035371228,0.06482925,0.013875598,0.006664104,0.031843591,0.025950587,0.046352207
California,CA,0.002506194,0.002297292,0.002159708,0.001615982,0.001696421,0.001127055,0.001146551,0.002020856,0.003173113,0.002167994,0.002108824,0.002123846,0.001334349,0.000831639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006773884,0.007597669,0.010949859,0.008029011,0.012117295,0.005363945,0.006483943,0.01030549,0.018107789,0.009721831,0.008471908,0.01530274,0.008298161,0.010231216
Colorado,CO,0.090420279,0.085399449,0.082265749,0.067946,0.094422827,0.085764706,0.091981604,0.077049548,0.0886275,0.075404506,0.082567074,0.094579246,0.067811537,0.038495822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131460551,0.114854842,0.115828481,0.13633828,0.15460441,0.134352941,0.100579884,0.247440401,0.194867279,0.159712007,0.188562791,0.206763036,0.155548217,0.131532033
Connecticut,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,DE,0.072901325,0.075907591,0.07043407,0.069640063,0.0891445,0.065068493,0.093267882,0.082264957,0.081742739,0.06212766,0.076222038,0.095019428,0.058731646,0.031641397,0.128129602,0.094389439,0.08026208,0.169796557,0.127965492,0.066438356,0.087657784,0.091880342,0.108298755,0.160425532,0.138773819,0.130695867,0.180880975,0.13744232,0.03460972,0.037623762,0.062244062,0.027386541,0.042415528,0.041780822,0.04628331,0.080128205,0.104149378,0.029361702,0.034382767,0.080890145,0.062792877,0.081740277
Florida,FL,0.000564865,0.000473485,0.000743347,0.000759013,0.000814801,0.000469363,0.000621432,0.000786674,0.001035503,0.000825528,0.00066808,0.000868874,0.00083717,0.000689386,0.000235361,0.000236742,0.000297339,0.000521822,0.000575153,0.000213347,0.000116518,0.000307829,0.001449704,0.002000318,0.001103785,0.00054615,0.001501982,0.001723464,0.000282433,0.000236742,0.000198226,0.000332068,0.000718942,0.000341355,0.000194197,0.000410439,0.000857988,0.000349262,0.000232376,0.00044685,0.000443208,0.001011099
Georgia,GA,0.013855858,0.013242994,0.019174757,0.015864023,0.01756546,0.010037235,0.011860812,0.028430392,0.025503356,0.021654322,0.017562171,0.020228179,0.01827735,0.014426318,0.006514321,0.007699415,0.00788835,0.019074599,0.014610523,0.007366035,0.006362422,0.023556611,0.031817052,0.04483519,0.01742603,0.005739483,0.024882717,0.021100175,0.014889877,0.01806796,0.01723301,0.018035883,0.017401297,0.011251417,0.009740005,0.021182204,0.046035297,0.011816588,0.005717916,0.02288794,0.015049728,0.033200755
Hawaii,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,ID,0.005847953,0.005387796,0.004139274,0.004494671,0.006229037,0.005914468,0.005911824,0.007677689,0.010786106,0.007603687,0.008703704,0.010695187,0.008991651,0.005559846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223874905,0.199724345,0.228512296,0.193399255,0.28473886,0.237602366,0.201603206,0.269783352,0.244058501,0.197772657,0.210246914,0.253208556,0.191164327,0.194208494
Illinois,IL,0.251716468,0.248757857,0.25577296,0.229366239,0.265956886,0.254146706,0.282916498,0.315328049,0.298692962,0.225856293,0.212818853,0.263201408,0.168391014,0.101298406,0.288817974,0.278928465,0.280774429,0.34088326,0.283850735,0.254202088,0.2598339,0.248268952,0.294045143,0.329253928,0.352751521,0.292019511,0.370521297,0.38721278,0.025755085,0.018377731,0.020388977,0.024381664,0.031940125,0.01996511,0.031078219,0.032044515,0.034999872,0.016720464,0.007756053,0.026432342,0.014280178,0.035848128
Indiana,IN,0.21785174,0.228728225,0.22074675,0.180885084,0.231197641,0.195786045,0.236846529,0.25907408,0.246691467,0.175401433,0.172661028,0.227912828,0.127730351,0.085683206,0.285173979,0.261252643,0.274863874,0.356715494,0.280572846,0.281286579,0.264077996,0.26344103,0.294352384,0.348841467,0.345040887,0.283105393,0.373472005,0.365262321,0.023798441,0.021095559,0.017279698,0.02480916,0.029952731,0.027075169,0.019709195,0.028701623,0.028497351,0.018777133,0.011738794,0.023132178,0.015269929,0.027863777
Iowa,IA,0.227575287,0.213910208,0.241936287,0.226143633,0.252715526,0.208668829,0.256680208,0.256356209,0.264005544,0.203237627,0.187057958,0.230838017,0.152268911,0.109554228,0.257983169,0.251834359,0.256197113,0.281593241,0.252573538,0.23926603,0.216894585,0.253739588,0.248510489,0.284780984,0.293681527,0.249434265,0.298523735,0.266148578,0.000381198,0.000449805,0.000447984,0.00053108,0.000757271,0.000385584,0.000476817,0.000639619,0.000589598,0.000241074,0.000170683,0.000282867,0.000184643,0.000363055
Kansas,KS,0.119923431,0.097098435,0.098962963,0.071858902,0.102980473,0.088961958,0.119256251,0.112344583,0.109010271,0.09489554,0.109576955,0.098991255,0.068280347,0.041628941,0.049097211,0.077143989,0.058962963,0.08451934,0.114645427,0.095172855,0.090916863,0.095381883,0.138071895,0.214431398,0.176209802,0.123603775,0.159659501,0.165187823,0.278286512,0.266587443,0.305530864,0.3383393,0.361562179,0.361967393,0.282239795,0.353493191,0.35646592,0.229369936,0.238519564,0.308792969,0.284343389,0.311281463
Kentucky,KY,0.071319253,0.086258884,0.09173877,0.073575454,0.095267052,0.082293523,0.092476223,0.10747733,0.136235354,0.100042248,0.102880658,0.116495382,0.06588034,0.040583927,0.091725334,0.10068921,0.107739718,0.184095178,0.126786257,0.112200436,0.115828804,0.084138546,0.213290003,0.291170258,0.224153859,0.212501626,0.293222514,0.270743453,0.034180186,0.042537153,0.041246889,0.04091004,0.053004966,0.039908893,0.042034647,0.038427234,0.098178397,0.041656105,0.039556563,0.097112007,0.058668948,0.102989867
Louisiana,LA,0.033010297,0.037974684,0.060463659,0.045094747,0.044164787,0.027727107,0.030135088,0.077789064,0.06337694,0.041489518,0.038560112,0.045513395,0.034812512,0.027375064,0.063294973,0.057800824,0.067982456,0.090669225,0.09094147,0.076127934,0.070315206,0.068224141,0.105944554,0.132531887,0.126689189,0.096205557,0.20204447,0.155722326,0.020896426,0.021656245,0.025689223,0.013912209,0.024694289,0.012039402,0.014201593,0.035804977,0.056666441,0.01715291,0.009610904,0.039189324,0.021575278,0.031724373
Maine,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,MD,0.065792993,0.070015221,0.057200929,0.069738088,0.098180768,0.071281296,0.092628117,0.087292818,0.079321486,0.061177249,0.068609023,0.074343823,0.047407585,0.026117094,0.1123295,0.091831558,0.066492451,0.169769643,0.122437193,0.09455081,0.093998356,0.098342541,0.113247173,0.16005291,0.147243108,0.137694105,0.214114258,0.146552791,0.036908264,0.044393709,0.06329849,0.031871253,0.057753393,0.048895434,0.052891203,0.091270718,0.090306947,0.028439153,0.037907268,0.076679951,0.062650024,0.105706152
Massachusetts,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,MI,0.087357243,0.096811042,0.096921642,0.094483416,0.100178167,0.077573707,0.11378866,0.119920817,0.130445256,0.091508501,0.092330941,0.117746914,0.077836574,0.047756546,0.140152274,0.116515945,0.153264925,0.152853555,0.129818594,0.128242307,0.125322165,0.133882059,0.144417232,0.18264023,0.184321874,0.147160494,0.207420625,0.151648974,0.045982769,0.059019515,0.05363806,0.06980168,0.068027211,0.058160142,0.054639175,0.071004376,0.069699281,0.038006876,0.047449943,0.076234568,0.050486094,0.058089172
Minnesota,MN,0.15387674,0.136220472,0.166437729,0.142706243,0.193578745,0.134598489,0.191483385,0.191356815,0.1929979,0.153014981,0.140137413,0.176654697,0.11691811,0.103867943,0.239275458,0.215748031,0.237751832,0.269251083,0.18510877,0.218098752,0.192213702,0.220022218,0.216410304,0.25571161,0.268788402,0.217119144,0.290882761,0.220908954,0.063441573,0.068985127,0.063797314,0.056899405,0.082383176,0.060973467,0.051150249,0.069812019,0.078885594,0.042696629,0.041360211,0.075186184,0.032179187,0.04727765
Mississippi,MS,0.025647805,0.029981335,0.045984213,0.032918227,0.032464795,0.021179625,0.022102378,0.066003249,0.065177591,0.046496441,0.043857674,0.050618931,0.040607932,0.024596826,0.091353781,0.081077928,0.112893121,0.141861883,0.119824606,0.111349419,0.080099019,0.122258327,0.199560601,0.237706524,0.221089967,0.176936174,0.283424365,0.258630278,0.023664728,0.023448437,0.017666959,0.010363146,0.015599966,0.006344951,0.008310494,0.041632819,0.059685097,0.014628094,0.007600495,0.047029589,0.024380591,0.04628481
Missouri,MO,0.117281304,0.122608696,0.102054292,0.102261722,0.118278392,0.102316949,0.116194248,0.132715463,0.128862479,0.09021197,0.088352958,0.109777015,0.063082984,0.041422016,0.239994282,0.230568562,0.257153338,0.276419985,0.255941299,0.223672394,0.221811171,0.248869981,0.275947934,0.352649626,0.345978153,0.277745065,0.327919685,0.320644397,0.053530589,0.040735786,0.047762289,0.047000513,0.064396014,0.039873077,0.047988745,0.054316861,0.053480475,0.026246883,0.01248404,0.04139679,0.031871902,0.066240687
Montana,MT,0.002129307,0.002315302,0.001745539,0.001871608,0.002030615,0.001534919,0.002200059,0.00309374,0.004035247,0.003098107,0.003290898,0.003029963,0.003168138,0.002032156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496128533,0.443485582,0.500775795,0.472768108,0.656669791,0.592018419,0.5887357,0.670929153,0.64382772,0.541824441,0.559972287,0.672259006,0.557818511,0.574502421
Nebraska,NE,0.227664155,0.205864082,0.227416376,0.193776978,0.266737694,0.2169968,0.251690757,0.26471584,0.271435679,0.211255983,0.201781321,0.250573784,0.163320615,0.115659411,0.146035163,0.1658177,0.146275395,0.203345324,0.192201151,0.191882367,0.170236043,0.174486094,0.213555199,0.259077406,0.261972741,0.206619802,0.2488039,0.245487365,0.048663437,0.037727254,0.051426226,0.046978417,0.060899212,0.056345445,0.048468373,0.083966143,0.061879227,0.036557188,0.035626425,0.042192936,0.038229772,0.030225216
Nevada,NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028187919,0.015384615,0.0125,0.01510574,0.03236246,0.025641026,0.025433526,0.052525253,0.044319098,0.021677663,0.017485429,0.034026465,0.024866785,0.033713975
New Hampshire,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,NJ,0.006455997,0.009813875,0.006747638,0.006420546,0.012101911,0.009133765,0.010640993,0.015859222,0.019942434,0.013064659,0.014537902,0.018407144,0.013096674,0.008145363,0.024464832,0.018950931,0.01585695,0.031139647,0.028025478,0.015321155,0.016214847,0.020204215,0.028371711,0.038751107,0.026583593,0.032804811,0.049457177,0.033991228,0.007475365,0.007106599,0.011470985,0.006741573,0.008280255,0.00618739,0.007347352,0.011948729,0.019120066,0.006864482,0.00623053,0.01221068,0.00740996,0.011278195
New Mexico,NM,0.020700637,0.014501697,0.015277778,0.01411161,0.016688062,0.011948791,0.012963443,0.01416144,0.021983914,0.018170158,0.013987066,0.014300306,0.009432634,0.005076142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024203822,0.038259796,0.032986111,0.025978191,0.060654685,0.056614509,0.029815919,0.061298806,0.045218945,0.016673792,0.029478117,0.017747702,0.013515416,0.024018819
New York,NY,0.028706395,0.027094474,0.032410779,0.033333333,0.04216661,0.032820675,0.0415928,0.058968851,0.063980706,0.057914717,0.051601031,0.068297393,0.042297747,0.028356546,0.015261628,0.018181818,0.018208303,0.031086142,0.023140213,0.023624544,0.026046638,0.035230934,0.039792878,0.044848592,0.055649614,0.043064049,0.067602512,0.047910864,0.015443314,0.018538324,0.025309541,0.021348315,0.021426123,0.014745521,0.017182599,0.021267454,0.025393673,0.01430211,0.01722488,0.019246862,0.012991011,0.020557103
North Carolina,NC,0.023062483,0.027380441,0.025744462,0.029736051,0.032919289,0.025626456,0.035835376,0.046857464,0.034114416,0.022923699,0.024345688,0.026631235,0.021453831,0.015899492,0.056382408,0.048744552,0.047601584,0.090410959,0.058820253,0.045798057,0.048823744,0.053123831,0.091322188,0.108090063,0.084138416,0.06617371,0.128801572,0.083801889,0.025945294,0.020320462,0.025084348,0.019311727,0.030635548,0.027331098,0.029419436,0.036990273,0.057445149,0.026299195,0.014368523,0.057855059,0.038690242,0.064674074
North Dakota,ND,0.040059624,0.031669948,0.039749752,0.036612652,0.047126665,0.033155792,0.057577602,0.052030955,0.075771879,0.061072953,0.043430393,0.062476846,0.048760955,0.044902349,0.098378983,0.105024394,0.131151293,0.175401722,0.116590442,0.137283622,0.150334753,0.138190507,0.148683918,0.203824021,0.216485586,0.165043662,0.29419033,0.216494341,0.431805478,0.416331422,0.40062562,0.367007933,0.476635514,0.435552597,0.365368229,0.480189722,0.441998001,0.33992946,0.358423874,0.440460439,0.26579411,0.310698834
Ohio,OH,0.145153971,0.137655582,0.134009392,0.117059947,0.152942474,0.114225771,0.169368278,0.155509257,0.161774951,0.109473341,0.111614173,0.13494225,0.087845242,0.066484579,0.236110211,0.222242863,0.213911386,0.322962233,0.245049915,0.244594673,0.240014139,0.288140257,0.263577162,0.361487037,0.352952756,0.32607051,0.379537068,0.320837601,0.055688817,0.062790266,0.067583203,0.068880537,0.07021124,0.060609593,0.064333687,0.065843783,0.090019688,0.041741399,0.038273341,0.052302416,0.029117746,0.055969045
Oklahoma,OK,0.023561173,0.01760385,0.011942099,0.010886968,0.016635475,0.014308269,0.017917995,0.020320247,0.021664316,0.021191938,0.017370356,0.016266414,0.009377847,0.011132873,0.009571727,0.01127153,0.016646562,0.022200875,0.019234768,0.015492402,0.008684182,0.014061611,0.024203103,0.050168671,0.042538354,0.011061162,0.016933712,0.033656324,0.245306173,0.228470111,0.271773221,0.268224997,0.369307548,0.292283402,0.22040233,0.338128912,0.431537377,0.193668368,0.208317484,0.19212114,0.295804083,0.263323369
Oregon,OR,0.002890173,0.001953316,0.001793249,0.002124123,0.002489912,0.001626991,0.001996833,0.002909267,0.003655999,0.003163469,0.004219683,0.005929154,0.004364621,0.00191646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083298927,0.071589022,0.073628692,0.087735501,0.130935005,0.086144888,0.069889141,0.119158737,0.140896563,0.09462898,0.120942612,0.162316931,0.115838057,0.129361035
Pennsylvania,PA,0.04945328,0.04913976,0.040878123,0.039358775,0.077726218,0.046729969,0.075735508,0.0845802,0.069995051,0.047873393,0.061620469,0.053834702,0.043201436,0.026863905,0.037897614,0.02969597,0.028135251,0.059576504,0.041763341,0.037341299,0.03495485,0.054190247,0.050530599,0.06482031,0.06641791,0.059069298,0.085249124,0.06556213,0.014662028,0.016026396,0.023340903,0.016509152,0.016452225,0.014296383,0.017962909,0.027443988,0.025127839,0.012396967,0.011833689,0.019689766,0.013460388,0.020276134
Rhode Island,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,SC,0.024325909,0.028039903,0.0253125,0.022979798,0.034624146,0.029370629,0.038947586,0.058045977,0.041319983,0.037649653,0.04,0.03532519,0.03045848,0.022005693,0.05978898,0.045295228,0.0459375,0.099747475,0.068109339,0.04032634,0.054070851,0.06302682,0.112819066,0.105860113,0.084123711,0.055353802,0.109757401,0.063170571,0.038100821,0.040442168,0.0396875,0.034848485,0.04738041,0.040792541,0.033146882,0.033716475,0.065294035,0.027882798,0.020206186,0.060856168,0.041038794,0.06711189
South Dakota,SD,0.130831643,0.136748518,0.155286535,0.130165913,0.173301407,0.1384547,0.161255411,0.149587156,0.178913548,0.153584359,0.137650159,0.173739337,0.120210245,0.081361616,0.232843137,0.214394581,0.219038495,0.267873303,0.217898833,0.195125565,0.193001443,0.221972477,0.207592075,0.298660391,0.290701256,0.226352446,0.313325526,0.311580124,0.154496281,0.117442845,0.102856645,0.139819005,0.2041305,0.213793614,0.173232323,0.238899083,0.248021658,0.132802317,0.13169513,0.190179246,0.106348212,0.112155005
Tennessee,TN,0.066995479,0.06809977,0.065518406,0.054493897,0.074832835,0.050138504,0.05648855,0.075884244,0.063449433,0.047868742,0.044464388,0.06017891,0.042663095,0.032115467,0.116933827,0.110928782,0.124451199,0.180618913,0.143121354,0.120360111,0.119720102,0.078456592,0.206210659,0.289580514,0.196051236,0.152141502,0.244882342,0.245632723,0.059597205,0.051033804,0.045423843,0.031562076,0.050362783,0.024792244,0.03307888,0.043622722,0.104741922,0.034759811,0.023088847,0.067769043,0.042790638,0.101299531
Texas,TX,0.047626047,0.03117044,0.027263319,0.030700033,0.045654808,0.025621539,0.038799449,0.041494592,0.056689619,0.047365164,0.041410633,0.024037148,0.027405128,0.021815525,0.004777304,0.003956513,0.003889662,0.005011018,0.005176782,0.003202692,0.001614665,0.002615536,0.004236032,0.005450564,0.004775581,0.001351371,0.003460615,0.002661703,0.040386594,0.058418771,0.049352318,0.043318139,0.06470977,0.046819021,0.025787149,0.099213373,0.105238386,0.029133146,0.053633449,0.044523354,0.045046902,0.057235308
Utah,UT,0.008393956,0.006289308,0.006040637,0.00554995,0.005792522,0.003683241,0.005261028,0.007318696,0.008527132,0.008276358,0.007829374,0.010711399,0.008917714,0.006409048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062674874,0.058176101,0.05107084,0.047426842,0.074776198,0.061694291,0.059894779,0.079174983,0.088113695,0.073407701,0.076403888,0.086499596,0.057154439,0.064844486
Vermont,VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,VA,0.037595582,0.044092466,0.03127715,0.030531543,0.054715898,0.039766302,0.043349065,0.0421947,0.040423905,0.033482699,0.025631981,0.035759551,0.023813559,0.014824121,0.072005098,0.067208904,0.04735013,0.101710502,0.078438875,0.058801357,0.061178116,0.083669355,0.094941549,0.12596465,0.098177543,0.109994568,0.162627119,0.123869347,0.037595582,0.037457192,0.042788879,0.026485194,0.045915439,0.036939314,0.040377556,0.069988479,0.091117666,0.03485188,0.029394474,0.070161144,0.045,0.073534338
Washington,WA,0.006961364,0.005170495,0.004588058,0.00442504,0.005753674,0.004710633,0.004687271,0.006669478,0.008458739,0.006539407,0.007376324,0.007564878,0.004592394,0.002618789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165819701,0.177891223,0.187520482,0.171219541,0.223367893,0.158142665,0.147404912,0.218176243,0.181305531,0.122547723,0.157820542,0.201636065,0.135885215,0.156639073
West Virginia,WV,0.022364217,0.026627219,0.027491409,0.025974026,0.036231884,0.02519685,0.027576197,0.029375765,0.028933092,0.022367195,0.021853147,0.025735294,0.018844221,0.014510278,0.022364217,0.017751479,0.02233677,0.032467532,0.028985507,0.018897638,0.021770682,0.023255814,0.034358047,0.035414725,0.027972028,0.033823529,0.049623116,0.038694075,0.009584665,0.01035503,0.010309278,0.00974026,0.010869565,0.009448819,0.010159652,0.017135863,0.017179024,0.005591799,0.006993007,0.011764706,0.005653266,0.010278114
Wisconsin,WI,0.175081348,0.132893025,0.157639681,0.144727714,0.150997391,0.116234543,0.178035557,0.150768263,0.144825928,0.100429975,0.115002366,0.149338436,0.093556573,0.061991428,0.118190406,0.107375163,0.126567845,0.127384669,0.095614847,0.113442361,0.093115622,0.106717709,0.114458555,0.162929975,0.173686701,0.138896095,0.17411488,0.115969936,0.01259578,0.017712399,0.023280122,0.019337496,0.025839576,0.016593538,0.023452276,0.036184383,0.03321181,0.020372645,0.018102224,0.03135945,0.020518693,0.023013852
Wyoming,WY,0.023611997,0.020746888,0.018131102,0.017763158,0.030541012,0.02358888,0.026297086,0.032376298,0.025444265,0.020131291,0.019524317,0.023492561,0.018312102,0.008911368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085138444,0.082537913,0.084797657,0.080425934,0.112673198,0.094114493,0.083393049,0.116550103,0.12343831,0.071066276,0.077229613,0.101609712,0.075390737,0.090820798